feature1,feature2,correlation_p,correlation_s
goals_against_total,goals_against_average,0.9552969295,0.9970201409
draft_year,age,-0.9765888143,-0.9959362736
goals,shooting_percentage_calculated,0.7806724508,0.976641657
puck_touches,passes_attempted,0.9575634172,0.8853920556
height,shoe_size,0.917058953,0.9103286953
goals,power_play_goals,0.8781140415,0.854781878
draft_year,years_played,-0.8510161585,-0.8632302772
years_played,age,0.8072190329,0.8533187257
power_play_goals,shooting_percentage_calculated,0.6873173613,0.8365672204
years_played,years_pro,0.8316887829,0.7664572089
num_of_shots,shot_attempts,0.5002749918,0.8006688411
passes_completed,pass_completion_rate,0.7459179587,0.7980837824
passes_attempted,passes_completed,0.7482647237,0.6925949862
draft_year,years_pro,-0.7204860253,-0.6966136575
puck_touches,passes_completed,0.7123286782,0.6285883308
height,body_fat_percentage,-0.7068886786,-0.6919223074
assists,games_missed_due_to_injury,0.6884917764,0.6960161917
years_pro,age,0.6815783124,0.6877267442
time_on_ice,time_between_penalties,0.6246230248,0.6859392293
puck_touches,puck_possession_time,0.6686888812,0.5120368414
shoe_size,body_fat_percentage,-0.6501597607,-0.6338771962
puck_possession_time,passes_attempted,0.6417754963,0.4717275296
shot_attempts,high_danger_shots,0.6345419612,0.619355822
medium_danger_shots,low_danger_shots,-0.6145052224,-0.6093074834
number_of_previous_teams,years_played,0.5269360124,0.6009173965
time_on_ice,penalty_kill_time,-0.5995156486,-0.4814703436
penalties_taken,time_between_penalties,-0.4225390414,-0.5489591012
num_of_shots,shooting_percentage_calculated,-0.5477606158,
penalty_kill_time,time_between_penalties,-0.5339966087,-0.477987101
salary,power_play_goals,0.5212794435,0.517590221
puck_possession_time,passes_completed,0.5062352672,0.3875238665
num_of_shots,high_danger_shots,0.311426129,0.4883088112
number_of_previous_teams,years_pro,0.4386806431,0.4629477183
assists,power_play_goals,0.4471564197,0.4449952878
weight,body_fat_percentage,0.4420336412,0.4100991093
salary,passes_attempted,0.3946429173,0.4366062563
jersey_number,low_danger_shots,0.4198602891,0.3514651315
jersey_number,medium_danger_shots,-0.4093139822,-0.3591909594
shot_attempts,medium_danger_shots,0.3983076705,0.3829609999
salary,goals,0.3970882033,0.3852580084
number_of_previous_teams,age,0.3019176225,0.3784455742
draft_year,number_of_previous_teams,-0.3007349704,-0.3779644967
salary,shooting_percentage_calculated,0.3089478537,0.3761409634
shot_attempts,low_danger_shots,0.3568044563,0.3363600004
assists,passes_attempted,,0.3548649609
salary,passes_completed,0.3301405569,0.3440004628
salary,games_missed_due_to_injury,0.3110237209,0.3435030745
salary,assists,0.3249136367,0.3317390712
num_of_shots,medium_danger_shots,,0.3180230683
power_play_goals,games_missed_due_to_injury,0.3034611229,0.3146144649
penalty_kill_time,goals_against_total,-0.3054898956,-0.3019984045